Vowel	a	ka	ā	kā	ê	kê	ô	kô	i	ki	ī	kī	u	ku	ū	kū	e	ke	ē	kē	ai	kai	o	ko	ō	kō	au	kau	r̥	kr̥	r̥̄	kr̥̄	l̥	kl̥	l̥̄	kl̥̄	ṁ	kṁ	ḥ	kḥ	k
Assamese	অ	ক	আ	কা	অ্যা	ক্যা			ই	কি	ঈ	কী	উ	কু	ঊ	কূ			এ	কে	ঐ	কৈ	অৗ	কৗ	ও	কো	ঔ	কৌ	ঋ	কৃ	ৠ	কৄ	ঌ	কৢ	ৡ	কৣ	অং	কং	অঃ	কঃ	ক্,ক্‍
Bengali	অ	ক	আ	কা	অ্যা	ক্যা			ই	কি	ঈ	কী	উ	কু	ঊ	কূ			এ	কে	ঐ	কৈ	অ	ক	ও	কো	ঔ	কৌ	ঋ	কৃ	ৠ	কৄ	ঌ	কৢ	ৡ	কৣ	অং	কং	অঃ	কঃ	ক্,ক্‍
Devanagari	अ	क	आ	का	ॲ	कॅ	ऑ	कॉ	इ	कि	ई	की	उ	कु	ऊ	कू	ऎ	कॆ	ए	के	ऐ	कै	ऒ	कॊ	ओ	को	औ	कौ	ऋ	कृ	ॠ	कॄ	ऌ	कॢ	ॡ	कॣ	अं	कं	अः	कः	क्,क्‍
Gujarati	અ	ક	આ	કા					ઇ	કિ	ઈ	કી	ઉ	કુ	ઊ	કૂ			એ	કે	ઐ	કૈ			ઓ	કો	ઔ	કૌ	ઋ	કૃ	ૠ	કૄ	ઌ	કૢ	ૡ	કૣ	અં	કં	અઃ	કઃ	ક્,ક્‍
Odia	ଅ	କ	ଆ	କା					ଇ	କି	ଈ	କୀ	ଉ	କୁ	ଊ	କୂ			ଏ	କେ	ଐ	କୈ			ଓ	କୋ	ଔ	କୌ	ଋ	କୃ	ୠ	କୄ	ଌ	କୢ	ୡ	କୣ	ଂ	କଂ	ଃ	କଃ	କ୍
Gurmukhi	ਅ	ਕ	ਆ	ਕਾ					ਇ	ਕਿ	ਈ	ਕੀ	ਉ	ਕੁ	ਊ	ਕੂ			ਏ	ਕੇ	ਐ	ਕੈ			ਓ	ਕੋ	ਔ	ਕੌ									ਅਂ	ਕਂ	ਅਃ	ਕਃ	ਕ੍
Meitei Mayek[b]	ꯑ	ꯀ	ꯑꯥ	ꯀꯥ					ꯏ	ꯀꯤ	ꯑꫫ	ꯀꫫ	ꯎ	ꯀꯨ	ꯑꫬ	ꯀꫬ			ꯑꯦ	ꯀꯦ	ꯑꯩ	ꯀꯩ			ꯑꯣ	ꯀꯣ	ꯑꯧ	ꯀꯧ									ꯑꯪ	ꯀꯪ	ꯑꫵ	ꯀꫵ	ꯛ
Tibetan	ཨ	ཀ	ཨཱ	ཀཱ					ཨི	ཀི	ཨཱི	ཀཱི	ཨུ	ཀུ	ཨཱུ	ཀཱུ			ཨེ	ཀེ	ཨཻ	ཀཻ			ཨོ	ཀོ	ཨཽ	ཀཽ	རྀ	ཀྲྀ	རཱྀ	ཀཷ	ལྀ	ཀླྀ	ལཱྀ	ཀླཱྀ	ཨཾ	ཀཾ	ཨཿ	ཀཿ	ཀ྄
Lepcha	ᰣ	ᰀ	ᰣᰦ	ᰀᰦ					ᰣᰧ	ᰀᰧ	ᰣᰧᰶ	ᰀᰧᰶ	ᰣᰪ	ᰀᰪ	ᰣᰫ	ᰀᰫ			ᰣᰬ	ᰀᰬ					ᰣᰨ	ᰀᰨ	ᰣᰩ	ᰀᰩ									ᰣᰴ	ᰀᰴ			
Limbu	ᤀ	ᤁ	ᤀᤠ	ᤁᤠ					ᤀᤡ	ᤁᤡ	ᤀᤡ᤺	ᤁᤡ᤺	ᤀᤢ	ᤁᤢ	ᤀ᤺ᤢ	ᤁ᤺ᤢ	ᤀᤧ	ᤁᤧ	ᤀᤣ	ᤁᤣ	ᤀᤤ	ᤁᤤ	ᤀᤨ	ᤁᤨ	ᤀᤥ	ᤁᤥ	ᤀᤦ	ᤁᤦ									ᤀᤲ	ᤁᤲ			ᤁ᤻
Tirhuta	𑒁	𑒏	𑒂	𑒏𑒰					𑒃	𑒏𑒱	𑒄	𑒏𑒲	𑒅	𑒏𑒳	𑒆	𑒏𑒴		𑒏𑒺	𑒋	𑒏𑒹	𑒌	𑒏𑒻		𑒏𑒽	𑒍	𑒏𑒼	𑒎	𑒏𑒾	𑒇	𑒏𑒵	𑒈	𑒏𑒶	𑒉	𑒏𑒷	𑒊	𑒏𑒸	𑒁𑓀	𑒏𑓀	𑒁𑓁	𑒏𑓁	𑒏𑓂
Kaithi	𑂃	𑂍	𑂄	𑂍𑂰					𑂅	𑂍𑂱	𑂆	𑂍𑂲	𑂇	𑂍𑂳	𑂈	𑂍𑂴			𑂉	𑂍𑂵	𑂊	𑂍𑂶			𑂋	𑂍𑂷	𑂌	𑂍𑂸									𑂃𑂁	𑂍𑂁	𑂃𑂂	𑂍𑂂	𑂍𑂹
Sylheti Nagari		ꠇ	ꠀ	ꠇꠣ					ꠁ	ꠇꠤ			ꠃ	ꠇꠥ					ꠄ	ꠇꠦ	ꠅꠂ	ꠇꠂ			ꠅ	ꠇꠧ											ꠀꠋ	ꠇꠋ			ꠇ꠆
Brahmi	𑀅	𑀓	𑀆	𑀓𑀸					𑀇	𑀓𑀺	𑀈	𑀓𑀻	𑀉	𑀓𑀼	𑀊	𑀓𑀽			𑀏	𑀓𑁂	𑀐	𑀓𑁃			𑀑	𑀓𑁄	𑀒	𑀓𑁅	𑀋	𑀓𑀾	𑀌	𑀓𑀿	𑀍	𑀓𑁀	𑀎	𑀓𑁁	𑀅𑀂	𑀓𑀂	𑀅𑀃	𑀓𑀃	𑀓𑁆
Tamil	அ	க	ஆ	கா					இ	கி	ஈ	கீ	உ	கு	ஊ	கூ	எ	கெ	ஏ	கே	ஐ	கை	ஒ	கொ	ஓ	கோ	ஔ	கௌ									அஂ	கஂ	அஃ	கஃ	க்
Kannada	ಅ	ಕ	ಆ	ಕಾ					ಇ	ಕಿ	ಈ	ಕೀ	ಉ	ಕು	ಊ	ಕೂ	ಎ	ಕೆ	ಏ	ಕೇ	ಐ	ಕೈ	ಒ	ಕೊ	ಓ	ಕೋ	ಔ	ಕೌ	ಋ	ಕೃ	ೠ	ಕೄ	ಌ	ಕೢ	ೡ	ಕೣ	అం	ಕಂ	అః	ಕಃ	ಕ್
Telugu	అ	క	ఆ	కా					ఇ	కి	ఈ	కీ	ఉ	కు	ఊ	కూ	ఎ	కె	ఏ	కే	ఐ	కై	ఒ	కొ	ఓ	కో	ఔ	కౌ	ఋ	కృ	ౠ	కౄ	ఌ	కౢ	ౡ	కౣ	అం	కం	అః	కః	క్
Sinhala	අ	ක	ආ	කා	ඇ	කැ	ඈ	කෑ	ඉ	කි	ඊ	කී	උ	කු	ඌ	කූ	එ	කෙ	ඒ	කේ	ඓ	කෛ	ඔ	කො	ඕ	කෝ	ඖ	කෞ	සෘ	කෘ	සෲ	කෲ	ඏ	කෟ	ඐ	කෳ	අං	කං	අඃ	කඃ	ක්
Malayalam	അ	ക	ആ	കാ					ഇ	കി	ഈ	കീ	ഉ	കു	ഊ	കൂ	എ	കെ	ഏ	കേ	ഐ	കൈ	ഒ	കൊ	ഓ	കോ	ഔ	കൗ	ഋ	കൃ	ൠ	കൄ	ഌ	കൢ	ൡ	കൣ	അം	കം	അഃ	കഃ	ക്,ക്‍
Chakma	𑄃𑄧	𑄇𑄧	𑄃	𑄇	𑄃𑄬𑄬	𑄇𑄬𑄬	𑄃𑅅	𑄇𑅅	𑄄, 𑄃𑄨	𑄇𑄨	𑄃𑄩	𑄇𑄩	𑄅, 𑄃𑄪	𑄇𑄪	𑄃𑄫	𑄇𑄫			𑄆, 𑄃𑄬	𑄇𑄬	𑄃𑄰	𑄇𑄰			𑄃𑄮	𑄇𑄮	𑄃𑄯	𑄇𑄯									𑄃𑄧𑄁	𑄇𑄧𑄁	𑄃𑄧𑄂	𑄇𑄧𑄂	𑄇𑄴
Burmese	အ	က	အာ	ကာ	အယ်	ကယ်	အွ	ကွ	ဣ	ကိ	ဤ	ကီ	ဥ	ကု	ဦ	ကူ	ဧ	ကေ	အေး	ကေး	အိုင်	ကိုင်	ဩ	ကော			ဪ	ကော်	ၒ	ကၖ	ၓ	ကၗ	ၔ	ကၘ	ၕ	ကၙ	အံ	ကံ	အး	ကး	က်
Khmer[c]	អ	ក	អា	កា					ឥ	កិ	ឦ	កី	ឧ	កុ	ឩ	កូ			ឯ	កេ	ឰ	កៃ			ឱ	កោ	ឳ	កៅ	ឫ	ក្ឫ	ឬ	ក្ឬ	ឭ	ក្ឭ	ឮ	ក្ឮ	អំ	កំ	អះ	កះ	ក៑
Thai[d]	อ (อะ)	ก (กะ)	อา	กา	แอ	แก	(ออ)	(กอ)	อิ	กิ	อี	กี	อุ	กุ	อู	กู	(เอะ)	(เกะ)	เอ	เก	ไอ,ใอ	ไก,ใก	(โอะ)	(โกะ)	โ	โก	เอา	เกา	ฤ	กฺฤ	ฤๅ	กฺฤๅ	ฦ	กฺฦ	ฦๅ	กฺฦๅ	อํ	กํ	อะ (อะฮฺ)	กะ (กะฮฺ)	กฺ (ก/ก์)
Lao[d]	ອະ	ກະ	ອາ	ກາ	ແອ	ແກ	(ອອ)	(ກອ)	ອິ	ກິ	ອີ	ກີ	ອຸ	ກຸ	ອູ	ກູ	(ແອະ)	(ແກະ)	ເອ	ເກ	ໄອ,ໃອ	ໄກ,ໃກ	(ໂອະ)	(ໂກະ)	ໂອ	ໂກ	ເອົາ,ອາວ	ເກົາ,ກາວ									ອํ	ກํ	ອະ	ກະ	ກ
Cham	ꨀ	ꨆ	ꨀꨩ	ꨆꨩ					ꨁ	ꨆꨪ	ꨁꨩ	ꨆꨫ	ꨂ	ꨆꨭ	ꨂꨩ	ꨆꨭꨩ			ꨃ	ꨆꨯꨮ	ꨄ	ꨆꨰ			ꨅ	ꨆꨯ	ꨀꨯꨱ	ꨆꨯꨱ	ꨣꨮ	ꨆꨴꨮ	ꨣꨮꨩ	ꨆꨴꨮꨩ	ꨤꨮ	ꨆꨵꨮ	ꨤꨮꨩ	ꨆꨵꨮꨩ	ꨀꩌ	ꨆꩌ	ꨀꩍ	ꨆꩍ	ꩀ
Balinese	ᬅ	ᬓ	ᬆ	ᬓᬵ					ᬇ	ᬓᬶ	ᬈ	ᬓᬷ	ᬉ	ᬓᬸ	ᬊ	ᬓᬹ	ᬏ	ᬓᬾ			ᬐ	ᬓᬿ	ᬑ	ᬓᭀ			ᬒ	ᬓᭁ	ᬋ	ᬓᬺ	ᬌ	ᬓᬻ	ᬍ	ᬓᬼ	ᬎ	ᬓᬽ	ᬅᬂ	ᬓᬂ	ᬅᬄ	ᬓᬄ	ᬓ᭄
Javanese	ꦄ	ꦏ	ꦄꦴ	ꦏꦴ					ꦆ	ꦏꦶ	ꦇ	ꦏꦷ	ꦈ	ꦏꦸ	ꦈꦴ	ꦏꦹ	ꦌ	ꦏꦺ			ꦍ	ꦏꦻ	ꦎ	ꦏꦺꦴ			ꦎꦴ	ꦏꦻꦴ	ꦉ	ꦏꦽ	ꦉꦴ	ꦏꦽꦴ	ꦊ	ꦏ꧀ꦭꦼ	ꦋ	ꦏ꧀ꦭꦼꦴ	ꦄꦁ	ꦏꦁ	ꦄꦃ	ꦏꦃ	ꦏ꧀
Sundanese	ᮃ	ᮊ			ᮆ	ᮊᮦ	ᮉ	ᮊᮩ	ᮄ	ᮊᮤ			ᮅ	ᮊᮥ			ᮈ	ᮊᮦ					ᮇ	ᮊᮧ					ᮻ	ᮊ᮪ᮻ			ᮼ	ᮊ᮪ᮼ			ᮃᮀ	ᮊᮀ	ᮃᮂ	ᮊᮂ	ᮊ᮪
Lontara	ᨕ	ᨀ			ᨕᨛ	ᨀᨛ			ᨕᨗ	ᨀᨗ			ᨕᨘ	ᨀᨘ			ᨕᨙ	ᨀᨙ					ᨕᨚ	ᨀᨚ																	
Rejang	ꥆ	ꤰ			ꥆꥎ	ꤰꥎ	ꥆꥍ	ꤰꥍ	ꥆꥇ	ꤰꥇ			ꥆꥈ	ꤰꥈ			ꥆꥉ	ꤰꥉ			ꥆꥊ	ꤰꥊ	ꥆꥋ	ꤰꥋ			ꥆꥌ	ꤰꥌ									ꥆꥏ	ꤰꥏ	ꥆꥒ	ꤰꥒ	ꤰ꥓
Batak (Toba)	ᯀ	ᯂ							ᯤ	ᯂᯪ			ᯥ	ᯂᯮ				ᯂᯩ						ᯂᯬ													ᯀᯰ	ᯂᯰ	ᯀᯱ	ᯂᯱ	ᯂ᯲
Baybayin	ᜀ	ᜃ							ᜁ	ᜃᜒ			ᜂ	ᜃᜓ			ᜁ	ᜃᜒ					ᜂ	ᜃᜓ																	ᜃ᜔
Buhid	ᝀ	ᝃ							ᝁ	ᝃᝒ			ᝂ	ᝃᝓ																											
Hanunuo	ᜠ	ᜣ							ᜡ	ᜣᜲ			ᜢ	ᜣᜳ																											ᜣ᜴
Tagbanwa	ᝠ	ᝣ							ᝡ	ᝣᝲ			ᝢ	ᝣᝳ																											
ISO	a	ka	ā	kā	ê	kê	ô	kô	i	ki	ī	kī	u	ku	ū	kū	e	ke	ē	kē	ai	kai	o	ko	ō	kō	au	kau	r̥	kr̥	r̥̄	kr̥̄	l̥	kl̥	l̥̄	kl̥̄	ṁ	kṁ	ḥ	kḥ	k
