letter	name	ipa-hànội	ipa-sài-gòn	spelling-name	ipa-spelling-name
A a	a	/aː˧/	/aː˧/		
Ă ă	á	/aː˧˥/	/aː˧˥/		
Â â	ớ	/əː˧˥/	/əː˧˥/		
B b	bê	/ɓe˧/	/ɓe˧/	bờ	/ɓəː˨˩/
C c	xê	/se˧/	/se˧/	cờ	/kəː˨˩/
D d	dê	/ze˧/	/je˧/	dờ	/zəː˨˩/
Đ đ	đê	/ɗe˧/	/ɗe˧/	đờ	/ɗəː˨˩/
E e	e	/ɛ˧/	/ɛ˧/		
Ê ê	ê	/e˧/	/e˧/		
G g	giê	/ʒe˧/	/ʒe˧, ɹe˧/	gờ	/ɣəː˨˩/
H h	hát, hắt	/ha:t˧˥/	/hak˧˥/	hờ	/həː˨˩/
I i	i ngắn	/i˧ ŋan˧˥/	/ɪi̯˧ ŋaŋ˧˥/[7]		
K k	ca	/kaː˧/	/kaː˧/	cờ	/kəː˨˩/
L l	en lờ	/ɛn˧ ləː˨˩/	/ɛŋ˧ ləː˨˩/	lờ	/ləː˨˩/
M m	em mờ	/ɛm˧ məː˨˩/	/ɛm˧ məː˨˩/	mờ	/məː˨˩/
N n	en nờ, anh nờ	/ɛn˧ nəː˨˩/	/an˧ nəː˨˩/	nờ	/nəː˨˩/
O o	o	/ɔ˧/	/ɔ˧/		
Ô ô	ô	/o˧/	/o˧/		
Ơ ơ	ơ	/əː˧/	/əː˧/		
P p	pê, bê phở	/pe˧/	/pe˧/	pờ	/pəː˨˩/
Q q	quy	/ku˧, kwi˧/	/kwi˧/	quờ   cờ	/kwəː˨˩/   /kəː˨˩/
R r	e rờ	/ɛ˧ rəː˨˩/	/ɛ˧ ɹəː˨˩/	rờ	/rəː˨˩/
S s	ét xì, ét xờ	/ɛt˦˥ si˨˩/	/ɛt˦˥, ə:t˦˥ (sə˨˩)/	sờ	/ʂəː˨˩/
T t	tê	/te˧/	/te˧/	tờ	/təː˨˩/
U u	u	/u˧/	/ʊu̯˧/[7]		
Ư ư	ư	/ɨ˧/	/ɯ̽ɯ̯˧/[7]		
V v	vê	/ve˧/	/ve˧/	vờ	/vəː˧/
X x	ích xì	/ik˦˥ si˨˩/	/ɪ̈t˦˥ (si˨˩)/	xờ	/səː˨˩/
Y y	y dài	/i˧ zaːj˨˩/	/ɪi̯˧ jaːj˨˩/[7]		